Ambrožič
Babič
Bajc
Bergant
Bevc
Bezjak
Bizjak
Blatnik
Blažič
Božič
Bregar
Breznik
Bukovec
Cerar
Cvetko
Debeljak
Demšar
Dolenc
Dolinar
Dolinšek
Erjavec
Eržen
Filipič
Fras
Furlan
Godec
Golob
Gomboc
Gorenc
Gorjup
Gregorič
Hafner
Hodžić
Horvat
Hozjan
Hočevar
Hribar
Hribernik
Hrovat
Ilić
Jamnik
Janežič
Jarc
Javornik
Jelen
Jenko
Jereb
Jerič
Jerman
Jovanović
Jug
Kalan
Kastelic
Kaučič
Klemenčič
Knez
Kobal
Kocjančič
Kodrič
Kokalj
Kokol
Kolar
Kolarič
Kolenc
Koren
Korošec
Kos
Kosi
Kotnik
Kovač
Kovačič
Kočevar
Košir
Koželj
Krajnc
Kramar
Kramberger
Kranjc
Krivec
Kuhar
Kumer
Lah
Lavrič
Lazar
Leban
Lebar
Lesjak
Leskovar
Lešnik
Likar
Logar
Majcen
Markovič
Marolt
Mavrič
Maček
Medved
Mihelič
Miklavčič
Mlakar
Mlinar
Mlinarič
Mrak
Nemec
Novak
Pavlin
Pavlič
Perko
Petek
Petrovič
Pečnik
Pintar
Pintarič
Pirc
Pirnat
Pogačnik
Popović
Potočnik
Primožič
Rajh
Ramšak
Resnik
Rozman
Rožič
Rožman
Rupnik
Rus
Rutar
Sever
Simonič
Sitar
Skok
Stopar
Sušnik
Tavčar
Tomažič
Tomšič
Toplak
Tratnik
Turk
Vidic
Vidmar
Vidovič
Vodopivec
Volk
Zajc
Zakrajšek
Zalokar
Zemljič
Zorko
Zorman
Zupan
Zupanc
Zupančič
Zver
kuhar
petek
ribič
volk
Čeh
Černe
Čuk
čeh
Šinkovec
Šmid
Štrukelj
Šuštar
Žagar
Železnik
Žibert
Žižek
Žnidaršič
žagar
