Adams
Adriaensen
Adriaenssens
Aerts
Ahmed
Ali
Andries
Baele
Baert
Baeten
Baetens
Baeyens
Bauwens
Beckers
Beeckman
Beernaert
Bekaert
Belmans
Berghmans
Bertels
Bervoets
Beyens
Blommaert
Blomme
Blondeel
Boeckx
Bogaert
Bogaerts
Bollen
Bonte
Boon
Boone
Boonen
Borremans
Bosmans
Bossuyt
Bouckaert
Bracke
Braem
Breugelmans
Broeckx
Brouwers
Bruggeman
Bruneel
Bruyninckx
Buelens
Buyse
Buysse
Callebaut
Callens
Callewaert
Carlier
Casier
Casteleyn
Celis
Ceulemans
Ceuppens
Christiaens
Claes
Claesen
Claessens
Claeys
Claus
Coene
Coenen
Colman
Colpaert
Cools
Coppens
Cornelis
Cox
Cuypers
Cuyvers
D'Hondt
D'hondt
Daems
Daniels
David
De Backer
De Baere
De Baets
De Bie
De Block
De Bock
De Boeck
De Bondt
De Bruycker
De Bruyn
De Bruyne
De Clerck
De Clercq
De Cock
De Coninck
De Coster
De Cuyper
De Decker
De Graeve
De Greef
De Groof
De Groote
De Jonghe
De Keyser
De Laet
De Leeuw
De Maeyer
De Meester
De Mey
De Meyer
De Moor
De Mulder
De Muynck
De Neve
De Paepe
De Pauw
De Ridder
De Roeck
De Roo
De Roover
De Ryck
De Rycke
De Schepper
De Schrijver
De Schryver
De Schutter
De Smedt
De Smet
De Sutter
De Vos
De Vuyst
De Wachter
De Waele
De Weerdt
De Wilde
De Winter
De Wit
De Witte
De Wolf
De Wulf
Debruyne
Deceuninck
Deckers
Declerck
Declercq
Decock
Deconinck
Decoster
Degroote
Degryse
Dejonghe
Dekeyser
Delaere
Deleu
Deman
Demeulenaere
Demeyer
Demeyere
Demuynck
Denys
Depoorter
Deprez
Depuydt
Derycke
Desmedt
Desmet
Devolder
Devos
Devriendt
Dewaele
Dewilde
Dewitte
Dewulf
Dhondt
Diallo
Dierckx
Dierick
Dierickx
Dillen
Dobbelaere
Dockx
Driesen
Dubois
Dupont
Eeckhout
Engelen
Engels
Everaert
Faes
Feys
Fierens
Fransen
François
Galle
Geens
Geeraerts
