Abrassart
Adam
Aerts
Albert
Alexandre
Allard
Anciaux
André
Antoine
Arnould
Bah
Bailly
Barbier
Barbieux
Barry
Bastien
Bastin
Baudoux
Bauduin
Bauwens
Beaujean
Becker
Beckers
Beguin
Benoit
Berger
Bernard
Bertrand
Blaise
Blondiau
Bodart
Bodson
Bogaert
Boland
Bonnet
Bouchat
Boucher
Bouchez
Boudart
Bouillon
Boulanger
Bourgeois
Bourguignon
Bovy
Brasseur
Brichard
Bruno
Bruyère
Bultot
Burton
Bury
Callens
Cambier
Capelle
Cardon
Carlier
Carpentier
Carton
Cassart
Caudron
Chapelle
Charles
Charlier
Chevalier
Christiaens
Claes
Claessens
Claeys
Claude
Claus
Close
Closset
Clément
Colin
Colinet
Collard
Collart
Collet
Collette
Collignon
Collin
Colot
Colson
Compère
Constant
Coppens
Cordier
Corman
Cornet
Cornez
Cornil
Coulon
Courtois
Couvreur
Crahay
Cremer
Culot
Cuvelier
Dardenne
David
De Backer
De Clercq
De Coster
De Smet
De Vos
Debroux
Decamps
Dechamps
Declercq
Degueldre
Dehon
Dejardin
Delannoy
Delattre
Delcourt
Delcroix
Delforge
Delfosse
Delhaye
Delhez
Delmotte
Delporte
Deltour
Delvaux
Delvigne
Demanet
Demaret
Demir
Demoulin
Denis
Deprez
Descamps
Desmet
Dessart
Dessy
Detaille
Dethier
Detournay
Detry
Devaux
Deville
Devillers
Devos
Dewez
Diallo
Dieu
Dieudonné
Docquier
Donnay
Dony
Doumont
Doyen
Druart
Dubois
Dubuisson
Duchesne
Duchêne
Duez
Dufour
Dufrane
Dufrasne
Dujardin
Dumont
Dumortier
Dumoulin
Dupont
Dupuis
Duquesne
Durant
Durieux
Dussart
Dutrieux
Duval
Duvivier
Eloy
Englebert
Ernst
Etienne
Evrard
Fabry
Fauconnier
Feron
Flament
Fontaine
Foucart
Franck
Franssen
François
Frère
Gabriel
Gaillard
Gallez
Gallo
Gaspard
Gauthier
Genot
George
Georges
Gerard
Ghislain
Gilbert
Gillain
Gillard
Gilles
Gillet
Gilson
Glineur
Gobert
Goblet
Godart
Godefroid
Godfroid
Godin
Goffaux
Goffin
Goffinet
Goossens
Gosset
Gossiaux
Graindorge
Grandjean
Greco
Grosjean
Grégoire
Guillaume
Guiot
Gustin
Gérard
Hainaut
Halleux
Hannecart
Hardy
Heinen
Hendrick
Hendrickx
Henin
Henrard
Henrion
Henrotte
Henry
Herman
Hermans
Honoré
Hougardy
Huart
Hubert
Hubin
Huet
Humblet
Jacob
Jacobs
Jacquemart
Jacquemin
Jacques
Jacquet
Jadot
Jadoul
Jamar
Janssen
Janssens
Joly
Joris
Kaya
Kinet
Klein
Lacroix
Lahaye
Lallemand
Laloux
Lambert
Lambot
Lambotte
Lambrechts
Lamy
Lange
Lardinois
Latour
Laurent
Lebeau
Leblanc
Lebon
Lebrun
Leclercq
Lecocq
Lecomte
Lecoq
Ledent
Ledoux
Leduc
Lefebvre
Lefevre
Lefèbvre
Lefèvre
Legrain
Legrand
Legros
Lejeune
Leleux
Leloup
Lemaire
Lemmens
Lemoine
Lempereur
Lenaerts
Lenoir
Leonard
Lepage
Leroy
Leruth
Lheureux
Lhoir
Libert
Limbourg
Liégeois
Liénard
Lombardo
Lorent
Louis
Lucas
Léonard
Maes
Mahieu
Mahy
Malherbe
Maquet
Marchal
Marchand
Marechal
Marion
Marlier
Marquet
Martens
Martin
Mary
Maréchal
Massart
Masset
Massin
Masson
Matagne
Materne
Mathieu
Mathot
Mathy
Maton
Matthys
Mercier
Mertens
Messina
Meunier
Meurant
Meurisse
Meyer
Michaux
Michel
Michiels
Mignon
Minet
Minne
Monfort
Moreau
Mortier
Motte
Mottet
Moulin
Moureau
Mouton
Muller
Müller
Navez
Neuville
Nguyen
Nicaise
Nicolas
Nicolay
Nizet
Noel
Noël
Nys
Nyssen
Oger
Olivier
Orban
Paquay
Paquet
Paquot
Parent
Parmentier
Paul
Paulus
Pauwels
Peeters
Peters
Petit
Petitjean
Philippart
Philippe
Picard
Pierard
Pierrard
Pierre
Pierret
Pierson
Piette
Pirard
Pire
Piret
Pirlot
Piron
Pirotte
Pirson
Piérard
Pochet
Polet
Pollet
Poncelet
Poncin
Raskin
Remacle
Remy
Renard
Renier
Renson
Reuter
Richard
Rizzo
Robert
Robin
Roger
Roland
Romain
Rossi
Rousseau
Rousseaux
Ruelle
Russo
Sacré
Salmon
Sauvage
Schmit
Schmitz
Schoonbroodt
Schumacher
Schyns
Segers
Servais
Sevrin
Simon
Simonis
Simons
Smets
Staquet
Stas
Stassin
Stevens
Theys
Thibaut
Thirion
Thiry
Thomas
Thonon
Thys
Timmermans
Toubeau
Tournay
Toussaint
Urbain
Valentin
Van Damme
Vandamme
Vandenberghe
Vanderheyden
Vanderlinden
Vandevelde
Verhaeghe
Vermeulen
Vigneron
Vilain
Vincent
Vrancken
Warnier
Wathelet
Wattiez
Wauters
Wauthier
Weber
Wilkin
Willame
Willem
Willems
Wilmart
Wilmet
Wilmotte
Wouters
Wéry
Yildirim
Yilmaz
