Aanei
Ababei
Albu
Ardelean
Barbu
Cristea
Diaconescu
Diaconu
Dima
Dinu
Dobre
Dochioiu
Dumitrescu
Eftimie
Ene
Florea
Georgescu
Gheorghiu
Ionescu
Ioniță
Manole
Marin
Mazilescu
Mocanu
Nemeș
Nistor
Niță
Oprea
Pop
Popa
Popescu
Preda
Pușcașu
Stan
Stancu
Stoica
Stănescu
Suciu
Tabacu
Toma
Tomescu
Tudor
Voinea
