Adamaszek
Adamiuk
Adrian
Aleksander
Aleksandrzak
Aleksiejuk
Ambrozik
Ambrożewicz
Andrearczyk
Andreasik
Andrejczuk
Andrukiewicz
Andruszko
Andrys
Andryszczyk
Andrzejuk
Andziak
Anioła
Antoszczyk
Antoń
Antończak
Apanowicz
Apostel
Araszkiewicz
Arendarczyk
Armata
Armatys
Augustynek
Babij
Bachanek
Bacia
Bacik
Bajak
Bak
Baka
Bakalarczyk
Bakiera
Bakun
Balas
Balawender
Balcewicz
Balik
Banachowicz
Banak
Bancerz
Bandyk
Banek
Bany
Banyś
Barankiewicz
Baranowicz
Barcz
Barczuk
Barej
Barszczak
Barteczko
Bartel
Bartocha
Bartoszczyk
Bartoś
Bartuś
Bartłomiejczyk
Barłóg
Bas
Basa
Basaj
Basak
Basista
Baszak
Baum
Baumgart
Bawoł
Bazela
Bazydło
Bazylewicz
Bazyluk
Bałazy
Beck
Becker
Behrendt
Bejger
Bejm
Bejma
Bejnarowicz
Bek
Bekus
Bela
Bembenek
Bender
Berdzik
Berek
Berendt
Berg
Bernard
Bernatek
Bernatowicz
Berus
Betka
Bełza
Białasik
Białczyk
Białk
Bidas
Biegała
Bielat
Bieleń
Bieniak
Biernacik
Biesaga
Biesek
Bieszke
Bilewicz
Bilik
Bitner
Bittner
Block
Bluszcz
Bobak
Bobel
Bobik
Bobko
Bobryk
Bochnak
Bochnia
Bociek
Bodek
Boduch
Bodych
Bodzak
Bodziony
Bogdał
Bogusiewicz
Boguta
Boguś
Bohdanowicz
Bojarczuk
Bojczuk
Bojdo
Boksa
Bona
Borak
Borejko
Borkowicz
Bortkiewicz
Boruc
Boryczko
Borysewicz
Borysiak
Borysiewicz
Borysiuk
Borzych
Borzym
Boś
Brach
Brańka
Breguła
Brejnak
Breś
Brodawka
Brodowicz
Brojek
Broncel
Broniarek
Browarczyk
Brudny
Bruzda
Bruś
Bryczek
Bryda
Brygoła
Bryzek
Brzykcy
Brząkała
Brzęk
Bubak
Bubel
Buchalik
Buchholz
Buczma
Budkiewicz
Budrewicz
Budych
Budzeń
Budzich
Budzyń
Bugiel
Bugla
Bujko
Buk
Bulak
Bulczak
Burchard
Burchardt
Burdach
Burnat
Burza
Burzawa
Burzec
Buszka
Buszkiewicz
Buszko
Butrym
Buza
Buś
Byra
Bystrek
Bystroń
Byzdra
Bzdęga
Bzymek
Bąbel
Bąbol
Bączkiewicz
Błasik
Błaszyk
Błaziak
Błażejak
Błażejewicz
Błądek
Cabała
Cacko
Cader
Calik
Capała
Capiga
Cebulak
Cegła
Celuch
Cetera
Ceynowa
Chaba
Chalimoniuk
Chatys
Cheba
Chlebek
Chmara
Choina
Chojak
Chojna
Cholewka
Chomiak
Chomik
Chomiuk
Choroś
Chowaniak
Chołody
Chromy
Chruszcz
Chudoba
Chwalisz
Chwedczuk
Chwedoruk
Chyb
Chylak
Ciak
Ciapa
Ciastek
Ciaś
Cichowlas
Ciechowicz
Cieciora
Cieciura
Cieloch
Ciemięga
Ciepluch
Cieplucha
Ciepła
Cierpka
Ciesielczyk
Ciesielka
Ciesiółka
Ciećko
Cimoch
Ciochoń
Cis
Cisoń
Ciuba
Ciuk
Ciuruś
Ciuła
Cięciwa
Cofała
Cogiel
Cop
Cuch
Cudzich
Cyba
Cybul
Cydzik
Cygal
Cyman
Cymbała
Cymer
Cyrek
Cyroń
Cyrulik
Cywka
Czajor
Czak
Czapiga
Czenczek
Czerepak
Czerner
Czerniakiewicz
Czerniec
Czerwionka
Czochara
Czubaj
Czubaszek
Czuj
Czulak
Czupryn
Czupryna
Czura
Czuryło
Czylok
Członka
Cąkała
Dacko
Dadej
Damek
Damian
Damps
Danel
Daniec
Danieluk
Danilczuk
Danisz
Dankiewicz
Daraż
Dargacz
Darul
Dawidczyk
Dawidek
Dawiec
Dejneka
Dela
Delikat
Demiańczuk
Deneka
Denkiewicz
Deptuch
Derek
Dering
Deszcz
Dietrich
Dobosiewicz
Dobrosz
Dobroń
Doktor
Doktór
Domek
Domian
Domka
Domoń
Domurad
Dorawa
Doroba
Dorobek
Dorociak
Doroszkiewicz
Doroszuk
Doruch
Downar
Drabczyk
Drela
Drewicz
Drewnik
Drewniok
Drgas
Drobek
Drobik
Drobisz
Drobniak
Drobot
Drop
Drozda
Drozdowicz
Droś
Droździel
Droździk
Drygas
Drygała
Dryka
Drynda
Drywa
Drzał
Drózd
Drążyk
Dub
Dubel
Dubik
Dubis
Duc
Duchnik
Duczek
Duczmal
Dudko
Dudkowiak
Dudzicz
Dudziec
Dukat
Dulas
Dulemba
Dulewicz
Dulik
Dumała
Dumin
Duniec
Duras
Durczok
Durlak
Durys
Dusik
Duszczak
Duszczyk
Dułak
Duży
Dworczak
Dybał
Dybaś
Dyczko
Dydak
Dydo
Dyjach
Dykas
Dylak
Dylong
Dymarczyk
Dynak
Dynia
Dyrek
Dyszkiewicz
Dyszy
Dytrych
Dywan
Dyś
Dziadkiewicz
Dziadowicz
Dziadura
Działa
Działo
Dziczek
Dziduch
Dziechciarz
