Aebi
Aeby
Alber
Babey
Badan
Badel
Bahon
Balmat
Barbey
Barillon
Barman
Bavaud
Beguin
Berberat
Bernasconi
Besançon
Besençon
Besse
Beuchat
Beuret
Beurret
Blanc
Bochud
Boechat
Boichat
Boillat
Bonvin
Bonvini
Botteron
Bourquard
Bourquin
Bouvier
Bovet
Brahier
Brandt
Broquet
Bugnon
Bujard
Béguelin
Candaux
Carraud
Carraux
Carron
Cattin
Chappuis
Chapuis
Charpié
Chatriand
Chatriant
Chaudet
Chenaux
Chevalley
Chevrolet
Chopard
Coigny
Comman
Comment
Comte
Conrad
Corbat
Corboz
Cornut
Cornuz
Corpataux
Cosandey
Cosendey
Cossy
Courvoisier
Cousin
Cretton
Crevoisier
Crivelli
Curdy
Deladoëy
Delèze
Deshusses
Diesbach
Droz
Dubey
Duroux
Duvanel
Délèze
Evéquoz
Fonjallaz
Francillon
Galland
Georges
Gillièron
Gilliéron
Godet
Grand
Grojean
Grosjean
Gubéran
Humbert
Isella
Jacot-Descombes
Jacot-Guillarmod
Joly
Jomini
Joye
Julliard
Maire
Marti
Martin
Marty
Masseron
Matile
Mayor
Menthonnex
Mercier
Meyer
Monnard
Monnet
Monney
Montandon
Morand
Morard
Mottet
Mottiez
Muriset
Musy
Müller
Niquille
Nusslé
Nüsslin
Paccot
Pachoud
Paschoud
Pasquier
Peitrequin
Pellet
Piccand
Polla
Privet
Quartier
Rapin
Rappaz
Rapraz
Rey
Robadey
Robert
Romanens
Rosselat
Rosselet
Rossellat
Sandoz
Sansonnens
Saudan
Thorens
Théraulaz
Tinguely
Treboux
Uldry
Vallélian
Vermeil
Vienne
Vonlanthen
Vuille
Wicht
de Dardel
