Євдокименко
Євтушенко
Євтушок
Ємельяненко
Ємець
Єременко
Єресько
Єрмоленко
Єрошенко
Єрченко
Єрьоменко
Єсипенко
Єфименко
Єщенко
Іваненко
Іваничук
Іванченко
Івасюк
Іващенко
Ільченко
Ільєнко
Ірванець
Ісаєвич
Ісаєнко
Іщак
Іщенко
Їжак
Їжакевич
Абрагамовський
Абраменко
Абрамчук
Авдєєнко
Аверченко
Авраменко
Аврамчук
Адаменко
Адамчук
Ажажа
Акименко
Акуленко
Александренко
Алексеєнко
Алексюк
Алексійчук
Андрейко
Андрощук
Андрусенко
Андрійович
Андрійчук
Андрієвич
Андрієнко
Андріїшин
Аронець
Арсенич
Артеменко
Артим
Артимишин
Артимович
Артюх
Артюшенко
Архимович
Архипенко
Асаула
Атаманчук
Атаманюк
Атрощенко
Бабʼюк
Бабʼяк
Бабак
Бабариченко
Бабенко
Бабич
Бабиченко
Бабко
Бабій
Бабійчук
Базавлученко
Базилевич
Базилевський
Байда
Байдак
Байрак
Баклан
Бакуменко
Балабан
Бандера
Бандура
Бандурка
Барабаш
Баран
Баранець
Бараник
Баранник
Батуринець
Батюк
Батіг
Башполченко
Баштан
Бгиденко
Бебешко
Бевз
Бевзенко
Безбородьки
Безбородько
Бездітко
Вакарчук
Вакуленко
Валенко
Ванченко
Василашко
Василевич
Василенко
Василечко
Ватаманюк
Вахній
Ващенко
Ващенко-Захарченко
Ващук
Вдовенко
Вдовиченко
Величко
Венгринович
Вергун
Верес
Верменич
Вернигора
Вернидуб
Вертипорох
Верховинець
Верхола
Височан
Вишиваний
Вишняк
Власенко
Власюк
Влох
Воблий
Вовк
Вівчаренко
Вітер
Вітрук
Габелко
Гавриленко
Гаврилець
Гаврилишин
Гаврилюк
Гаврилів
Гавриш
Гавришкевич
Гаврюшенко
Гайворонський
Гайда
Гайдабура
Гайдай
Гайдамака
Гайденко
Гаєвський
Гоголь
Гоголь-Яновський
Годунок
Голик
Голобородько
Гресь
Гречаник
Гречко
Гриценко
Гузенко
Гузь
Гузій
Гук
Гунько
Гупало
Гуцуляк
Давиденко
Давимука
Даниленко
Данильчук
Данилюк
Данченко
Данчук
Данькевич
Данько
Даньків
Дараган
Дахно
Даценко
Дацюк
Дашенко
Дашкевич
Девдюк
Дейнека
Дейнеко
Дейсун
Демʼяненко
Демʼянчук
Демʼянюк
Демиденко
Дергач
Деревʼянко
Дерегус
Деркач
Деряжний
Джунь
Джус
Дзиндра
Дзюба
Доценко
Дробʼязко
Дробаха
Дрозд
Дрозденко
Дубас
Дубенко
Дубина
Дуплій
Дурдинець
Дутка
Ейбоженко
Жадан
Жайворон
Жаліло
Жарко
Жук
Журавель
Журба
Жученко
Забара
Забарний
Забашта
Забіла
Зайченко
Закусило
Запорожець
Заруба
Зарудний
Засенко
Засуха
Засядько
Затовканюк
Затула
Захаренко
Захарченко
Заєць
Заїка
Зубко
Зінкевич
Зінченко
Зінчук
Кабалюк
Кабаненко
Каденюк
Калениченко
Кальченко
Канівець
Карась
Кармалюк
Карпа
Карпенко
Кащенко
Кибкало
Килимник
Кириленко
Коваленко
Ковалюк
Ковпак
Козак
Козаченко
Колесниченко
Колодуб
Колісниченко
Комар
Конопленко
Конопля
Копитко
Корбут
Корж
Короленко
Корпанюк
Корсун
Лаба
Лавренко
Лагода
Лазаренко
Левченко
Лемешко
Лесик
Лисенко
Литвин
Литвиненко
Лубенець
Лукаш
Лупій
Луценко
Ляшко
Мазепа
Мазур
Макаренко
Макогон
Малик
Малишко
Мамчур
Масляк
Масоха
Матвієнко
Матяш
Медведенко
Микитюк
Михайличенко
Михайлюк
Михалюк
Москаль
Мірошниченко
Міщенко
Назаренко
Наливайко
Негода
Непорожній
Нестайко
Нестеренко
Носаченко
Носенко
Ніколюк
Оберемко
Овсієнко
Овчаренко
Олійник
Оліфіренко
Онищенко
Онуфрієнко
Оніщук
Опанасенко
Орлик
Оробець
Остапчук
Охримович
Охріменко
Пʼятаченко
Павленко
Павлик
Павличенко
Палій
Панчук
Парасюк
Пелех
Перебийніс
Перепелиця
Петлюра
Петренко
Петрик
Пилипенко
Полтавець
Приймак
Примаченко
Притула
Приходько
Прокопович
Проценко
Пустовіт
Пушкар
Піддубний
Радченко
Рак
Ребрик
Рева
Редько
Романенко
Романець
Романчук
Рубан
Рубець
Рудик
Рудько
Рябець
Рябовіл
Рябошапка
Рябченко
Савенко
Сагаль
Салій
Самойленко
Сацюк
Саченко
Саєнко
Свириденко
Свистун
Семенченко
Симоненко
Сиротенко
Сич
Скиба
Скирда
Скопенко
Скорик
Скоробогатько
Слюсар
Смик
Сомко
Стельмах
Стець
Стус
Супруненко
Сімашкевич
Сірко
Сіробаба
Сірченко
Талан
Таран
Тарасенко
Твердохліб
Теличенко
Теліженко
Терещенко
Терещук
Тесленко
Тесля
Тимченко
Тимчук
Титаренко
Тихий
Тичина
Ткач
Ткаченко
Товстоліс
Товстуха
Токар
Тригуб
Туркало
Тягнибок
Удовенко
Удовиченко
Уманець
Усик
Устенко
Фаренюк
Фартушняк
Фастенко
Фесенко
Фоменко
Франко
Франчук
Фурс
Філіпенко
Харченко
Хмара
Хоменко
Хомик
Хорішко
Христенко
Христич
Худобʼяк
Худяк
Царенко
Цибуленко
Цимбал
Цимбалюк
Цушко
Цюпа
Цюцюра
Цісик
Чабан
Чайка
Чаленко
Чалий
Чарниш
Чекалюк
Червоненко
Чередник
Черненко
Черінько
Чміль
Чорновіл
Чубай
Чуйко
Чумак
Чумаченко
Чуприна
Шаблій
Шамрай
Шаповал
Шахрай
Швайка
Швачка
Швачко
Шведченко
Шевченко
Шелест
Шеремет
Шеремета
Шило
Шинкаренко
Шиян
Шморгун
Шовкопляс
Штепа
Штокало
Шутько
Шухевич
Щербак
Щербань
Щириця
Щорс
Юрченко
Юрчишин
Юрчук
Юхименко
Ющенко
Якименко
Якимчук
Яковенко
Ярема
Яременко
Яремко
Яремків
Яремчук
Ярош
Яценко
Яценюк
Ященко
Ящук
Ґалаґан
Ґерета
Ґереґа
Ґерус
Ґжицький
Ґоляш
