Alksne
Alksnis
Apine
Apinis
Apsīte
Apsītis
Auniņa
Auniņš
Auziņa
Auziņš
Avotiņa
Avotiņš
Balode
Balodis
Baltiņš
Birzniece
Birznieks
Bite
Briede
Briedis
Bērziņa
Bērziņš
Caune
Celma
Celmiņa
Celmiņš
Celms
Cīrule
Cīrulis
Dzene
Dzenis
Dūmiņa
Dūmiņš
Eglīte
Eglītis
Jaunzema
Jaunzems
Kalniņa
Kalniņš
Kalēja
Kalējs
Kauliņa
Kauliņš
Kaņepa
Kaņeps
Krastiņa
Krastiņš
Krieva
Krieviņa
Krieviņš
Krievs
Krēsliņa
Krēsliņš
Krūmiņa
Krūmiņš
Krūze
Kundziņa
Kundziņš
Kārkliņa
Kārkliņš
Kļaviņa
Kļaviņš
Lagzdiņa
Lagzdiņš
Lapsa
Liepa
Liepiņa
Liepiņš
Lukstiņa
Lukstiņš
Lāce
Lācis
Līce
Līcis
Lūse
Lūsis
Paegle
Podniece
Podnieks
Pole
Polis
Priede
Priedīte
Priedītis
Puriņa
Puriņš
Purmale
Purmals
Pērkona
Pērkons
Riekstiņa
Riekstiņš
Roze
Rozīte
Rozītis
Rubene
Rubenis
Rudzīte
Rudzītis
Saulīte
Saulītis
Siliņa
Siliņš
Skuja
Skujiņa
Skujiņš
Sproģe
Sproģis
Strazdiņa
Strazdiņš
Turiņa
Turiņš
Vanaga
Vanags
Vilciņa
Vilciņš
Vilks
Vīksna
Vītola
Vītoliņa
Vītoliņš
Vītols
Zariņa
Zariņš
Zaķe
Zaķis
Zeltiņa
Zeltiņš
Ziemele
Ziemelis
Zirne
Zirnis
Zvaigzne
Zvirbule
Zvirbulis
Zālīte
Zālītis
Ābele
Ābola
Āboliņa
Āboliņš
Ābols
